_id,name,description,price,image,category,countInStock,__v,createdAt,updatedAt
69034032dd6932f3681c454b,Handcrafted Pottery,Beautiful handmade pottery from rural artisans. Each piece is unique and crafted with traditional techniques passed down through generations.,1299,https://cdn.shopify.com/s/files/1/0836/2769/files/pottery-making-on-a-wheel_600x600.jpg?v=1715828418,Home Decor,15,0,2025-10-30T10:38:42.636Z,2025-10-30T10:38:42.636Z
69034032dd6932f3681c454c,Brass Decor Items,Traditional brass items for home decoration. These pieces showcase the rich heritage of Indian metalwork and craftsmanship.,1499,https://images.unsplash.com/photo-1580480055273-228ff5388ef8?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Home Decor,8,0,2025-10-30T10:38:42.636Z,2025-10-30T10:38:42.636Z
69034032dd6932f3681c454d,Embroidered Cushion Cover,Hand-embroidered cushion covers with traditional designs. Each piece is carefully crafted by skilled artisans.,799,https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2532&q=80,Home Decor,12,0,2025-10-30T10:38:42.636Z,2025-10-30T10:38:42.636Z
69034032dd6932f3681c454e,Wooden Spice Box,Traditional wooden spice box with multiple compartments. Perfect for organizing your kitchen spices in style.,699,https://images.unsplash.com/photo-1586201375761-83865001e31c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Home Decor,18,0,2025-10-30T10:38:42.636Z,2025-10-30T10:38:42.636Z
69034032dd6932f3681c454f,Handwoven Wall Hanging,Intricate wall hanging made with traditional weaving techniques. Adds a touch of Indian culture to any room.,1899,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Home Decor,6,0,2025-10-30T10:38:42.636Z,2025-10-30T10:38:42.636Z
69034032dd6932f3681c4550,Terracotta Planters,Eco-friendly terracotta planters perfect for indoor and outdoor plants. Made from natural clay.,399,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Home Decor,25,0,2025-10-30T10:38:42.636Z,2025-10-30T10:38:42.636Z
69034032dd6932f3681c4551,Organic Tea Collection,Premium organic tea sourced from the hills of Darjeeling. This collection includes a variety of flavors and aromas that will delight your senses.,599,https://images.unsplash.com/photo-1564890369478-c89ca6d9cde9?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Food,25,0,2025-10-30T10:38:42.636Z,2025-10-30T10:38:42.636Z
69034032dd6932f3681c4552,Spice Collection Set,"Premium collection of Indian spices including turmeric, cumin, coriander, and garam masala. Perfect for authentic Indian cooking.",899,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Food,30,0,2025-10-30T10:38:42.636Z,2025-10-30T10:38:42.636Z
69034032dd6932f3681c4553,Organic Honey,Pure organic honey collected from wildflowers. Rich in flavor and natural goodness.,699,https://images.unsplash.com/photo-1587049352846-4a222e784d38?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Food,20,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4554,Traditional Pickles,"Homemade pickles made with traditional recipes. Available in mango, lime, and mixed vegetable varieties.",299,https://images.unsplash.com/photo-1578662996442-48f60103fc96?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Food,40,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4555,Basmati Rice,Premium long-grain basmati rice from the foothills of the Himalayas. Known for its aromatic fragrance.,499,https://images.unsplash.com/photo-1586201375761-83865001e31c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Food,50,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4556,Handwoven Scarf,Elegant handwoven scarf made from sustainable materials. These scarves are crafted by skilled artisans using traditional looms and techniques.,899,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2680&q=80,Fashion,10,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4557,Cotton Kurti,Comfortable cotton kurti with traditional embroidery. Perfect for casual wear and special occasions.,1299,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Fashion,14,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4558,Silk Saree,Elegant silk saree with intricate zari work. Perfect for weddings and special occasions.,8999,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS85iP5Ij7ovsALRZlIo4LJSMSIOI7v2nNUThBETTGYyKfHx5M8xYDkHgFppraY2DmLWkEsFFVNTNgiUUIIq4rPbay5vAksJJY1Py2QgXU7cFxmTp1fm_spir0&usqp=CAc,Fashion,5,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4559,Handcrafted Jewelry Set,"Beautiful jewelry set made with traditional techniques. Includes earrings, necklace, and bangles.",2499,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Fashion,8,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c455a,Leather Sandals,Comfortable leather sandals handcrafted by skilled artisans. Perfect for everyday wear.,1299,https://images.unsplash.com/photo-1549298916-b41d501d3772?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Fashion,20,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c455b,Handmade Soap Set,Natural handmade soaps with essential oils. These soaps are made using traditional methods and natural ingredients.,499,https://images.unsplash.com/photo-1607006344380-b6775a0824ce?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2671&q=80,Beauty,20,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c455c,Ayurvedic Face Cream,Natural face cream made with Ayurvedic herbs. Nourishes and protects your skin naturally.,799,https://images.unsplash.com/photo-1556228720-195a672e8a03?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Beauty,15,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c455d,Hair Oil with Herbs,Traditional hair oil infused with natural herbs. Promotes healthy hair growth and reduces hair fall.,399,https://images.unsplash.com/photo-1556228720-195a672e8a03?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Beauty,25,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c455e,Clay Face Mask,Natural clay face mask that deep cleanses and purifies your skin. Made with multani mitti.,299,https://images.unsplash.com/photo-1556228720-195a672e8a03?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Beauty,30,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c455f,Handmade Paper Products,"Eco-friendly handmade paper products including notebooks, greeting cards, and gift boxes.",199,https://images.unsplash.com/photo-1586953208448-b95a79798f07?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Art & Craft,50,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4560,Bamboo Craft Items,"Beautiful bamboo craft items including baskets, coasters, and decorative pieces.",599,https://images.unsplash.com/photo-1586953208448-b95a79798f07?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Art & Craft,35,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4561,Hand-painted Ceramics,"Beautiful hand-painted ceramic items including mugs, plates, and bowls with traditional motifs.",899,https://images.unsplash.com/photo-1586953208448-b95a79798f07?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2670&q=80,Art & Craft,20,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4562,Running Shoes,Lightweight running shoes designed for comfort and performance.,2999,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=800&q=80,Sports Wear,20,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4563,Gym Shorts,Breathable gym shorts suitable for all kinds of workouts.,799,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?auto=format&fit=crop&w=800&q=80,Sports Wear,30,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4564,Sports T-Shirt,Moisture-wicking sports t-shirt for active wear.,599,https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=800&q=80,Sports Wear,25,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4565,iPhone 14,Latest Apple iPhone with advanced features and sleek design.,79999,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=800&q=80,Smart Phones,10,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4566,Samsung Galaxy S23,Flagship Samsung smartphone with high-end specs.,74999,https://images.unsplash.com/photo-1510557880182-3d4d3c1b0c61?auto=format&fit=crop&w=800&q=80,Smart Phones,12,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4567,OnePlus 11,Premium OnePlus smartphone with fast performance.,59999,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=800&q=80,Smart Phones,15,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4568,Running Shoes,Lightweight running shoes designed for comfort and performance.,2999,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=800&q=80,Sports Wear,20,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c4569,Gym Shorts,Breathable gym shorts suitable for all kinds of workouts.,799,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?auto=format&fit=crop&w=800&q=80,Sports Wear,30,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c456a,Sports T-Shirt,Moisture-wicking sports t-shirt for active wear.,599,https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=800&q=80,Sports Wear,25,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c456b,iPhone 14,Latest Apple iPhone with advanced features and sleek design.,79999,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=800&q=80,Smart Phones,10,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c456c,Samsung Galaxy S23,Flagship Samsung smartphone with high-end specs.,74999,https://images.unsplash.com/photo-1510557880182-3d4d3c1b0c61?auto=format&fit=crop&w=800&q=80,Smart Phones,12,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69034032dd6932f3681c456d,OnePlus 11,Premium OnePlus smartphone with fast performance.,59999,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=800&q=80,Smart Phones,15,0,2025-10-30T10:38:42.637Z,2025-10-30T10:38:42.637Z
69038ac974bfdd1ce05ae6f0,Straight Regular Jeans,"Introducing INKD Men's Regular Fit Denim -designed to take your style to the next level with its impeccable styling and ultimate stretch.\nWell-fitting: Made in our favourite regular fit, our denim is designed to sit",1299,https://m.media-amazon.com/images/I/712vRlYR0VL._SX679_.jpg,Fashion,11,0,2025-10-30T15:56:57.321Z,2025-10-30T15:56:57.321Z
